From,To,AvgTime
-138506500#2,138506500#2,2.2606191504679622
-138506500#2,170345943#0,40.05903527717782
-138506509,-243118979#0,4.260619150467963
-138506509,138506509,23.500359971202304
-138506509,243118979#1,4.971922246220302
-138506521#0,138506521#0,3.4701223902087834
-138506521#1,-138506521#0,3.4701223902087834
-138506521#1,138506521#1,6.910007199424046
-138506521#1,690008586,14.868250539956804
-138507632,-700448563#1,5.981281497480201
-138507632,138507632,17.40964722822174
-138507632,700448563#2,3.458603311735061
-138507633,-1351699825,6.889848812095033
-138507633,-700448563#2,3.458603311735061
-138507633,138507633,15.058315334773217
-138507633,700448563#5,7.51043916486681
-138507635,138507635,9.772498200143989
-138507636#0,-700448563#0,10.603311735061196
-138507636#0,138507636#0,4.372930165586753
-138507636#0,700448563#1,5.981281497480201
-138507636#1,-138507636#0,4.372930165586753
-138507636#1,-927526272,5.334773218142548
-138507636#1,138507636#1,12.846652267818573
-138507640#0,138507640#0,2.953203743700504
-138507641#0,-138507652#2,2.007199424046076
-138507641#0,138507641#0,11.278617710583152
-138507641#0,138507652#3,13.161987041036715
-138507641#1,-138507641#0,11.278617710583152
-138507641#1,138507641#1,2.033117350611951
-138507641#1,138507652#0,18.34269258459323
-138507641#2,-138507641#1,2.033117350611951
-138507641#2,-138507647,3.1605471562275014
-138507641#2,138507641#2,15.979841612670986
-138507644,-258519973#0,25.661627069834413
-138507644,138507644,20.218862491000717
-138507644,258519973#1,27.262778977681783
-138507645#1,138507645#0,5.327573794096472
-138507645#1,474164339#1,2.1557155715571557
-138507647,138507647,3.032397408207343
-138507652#0,-138507641#0,11.278617710583152
-138507652#0,138507641#1,2.033117350611951
-138507652#0,138507652#0,18.34269258459323
-138507652#1,-138507652#0,19.065514758819294
-138507652#1,138507652#1,2.8452123830093594
-138507652#1,738393940,7.418286537077034
-138507652#12,-138507652#9,5.605471562275017
-138507652#12,-90447832#1,6.773218142548596
-138507652#12,138507652#11,16.904247660187185
-138507652#12,90447877,15.724982001439884
-138507652#19,-138507652#12,16.904247660187185
-138507652#19,-964568154,4.921526277897768
-138507652#19,138507652#13,17.287257019438446
-138507652#2,-138507652#1,2.8452123830093594
-138507652#2,1126916437,1.3880489560835134
-138507652#2,138507652#2,2.007199424046076
-138507652#3,-138507652#2,2.007199424046076
-138507652#3,138507641#0,11.278617710583152
-138507652#3,138507652#3,13.161987041036715
-138507652#5,-138507652#3,13.134629229661627
-138507652#5,-90447872,23.648668106551476
-138507652#5,138507652#4,11.37652987760979
-138507652#6,-138507652#5,11.638588912886968
-138507652#6,-90447865,21.00503959683225
-138507652#6,138507652#6,5.153347732181425
-138507652#8,-138507652#6,5.153347732181425
-138507652#8,-90447855,22.037437005039596
-138507652#8,138507652#8,9.640028797696184
-138507652#8,22980556#0,6.624910007199423
-138507652#9,-138507652#8,9.640028797696184
-138507652#9,138507652#9,5.605471562275017
-138507652#9,90447893#0,6.617710583153348
-1415527424,-23025882#12,2.2070207020702073
-1415527424,-90564612#6,35.583873290136786
-1415527424,23025882#13,11.681368136813681
-1419295055#1,-1237215042#9,4.560756075607562
-1419295055#1,130819415#0,22.581713462922966
-1419295055#1,1419295055#0,1.567056705670567
-1419506392#2,-19821740#11,11.523852385238525
-1419506392#2,-22943050#3,5.138948884089272
-1419506392#2,1419506392#0,4.658865886588659
-145395107,-22943217,17.665946724262056
-145395107,145395107,15.428365730741541
-146630841,-22943166#3,13.940964722822173
-146630841,1281066517,16.95032397408207
-146630841,146630841,7.4931605471562275
-146630841,22943166#5,5.5161987041036715
-148393291,-130830296#1,8.411341134113412
-148393291,130830296#2,5.753375337533754
-148393291,148393291,13.95392368610511
-148559367#1,14618089#4,4.936093609360936
-148559367#1,148559367#0,12.218862491000719
-148559367#2,-148559367#1,11.425485961123108
-148559367#2,-96957116,14.021598272138228
-148559367#2,148559367#2,3.2152627789776815
-148559368#0,-696170691#1,2.7962562994960405
-148559368#0,148559368#0,8.92728581713463
-148559368#0,47484434#0,8.060475161987041
-148559368#1,-148559368#0,8.793376529877609
-148559368#1,-22802758,16.122390208783298
-148559368#1,148559368#1,4.398848092152628
-148634502,148634502,4.348452123830094
-148634502,22376417#4,35.156227501799854
-148642426#1,-253934429#1,13.516198704103672
-148642426#1,148642426#0,6.865370770338372
-148642426#1,253934429#2,1.786897048236141
-148742715,21023627,19.743700503959683
-148742715,689753509#1,10.980561555075594
-148744325,148744325,7.290136789056875
-148818701#2,-19977502#0,10.14254859611231
-148818701#2,-47484417,8.967602591792657
-148818701#2,148818701#0,23.081353491720662
-148818701#2,19977502#1,4.077753779697624
-148818702#0,148818702#0,7.720662347012238
-148818702#0,148818707#0,3.506119510439165
-148818702#0,23025848#0,11.580993520518359
-148818702#3,-148818702#0,7.841612670986321
-148818702#3,148818702#1,6.760259179265659
-148818702#3,47484429,14.462203023758098
-148818702#4,-148818702#3,6.721382289416846
-148818702#4,148818702#4,3.909287257019438
-148818702#4,23311635,25.552195824334053
-148818706#0,-22943144#1,8.84809215262779
-148818706#0,-696403898#5,10.597552195824333
-148818706#0,148818706#0,8.938804895608351
-148818706#0,389883941#1,20.13681368136814
-148818707#0,148818702#0,7.720662347012238
-148818707#0,148818707#0,3.506119510439165
-148818707#0,23025848#0,11.580993520518359
-148818707#1,-148818707#0,3.5910727141828653
-148818707#1,-319824016,3.2095032397408203
-148818707#1,148818707#1,7.137508999280057
-148852734#0,-148818706#0,8.937365010799136
-148852734#0,148818706#1,25.418286537077034
-148852734#0,148852734#0,9.23110151187905
-148852735,-696452636#0,11.847372210223181
-148852735,148852735,10.269258459323252
-148852735,260322239,14.96328293736501
-148852735,696452636#2,5.108711303095752
-148886353#0,-130822234#14,11.118790496760258
-148886353#0,-19978070#4,5.820014398848092
-148886353#0,130822234#15,7.035277177825773
-148886353#0,148886353#0,14.175665946724262
-148886353#1,-148886353#0,14.175665946724262
-148886353#1,148886353#1,14.198704103671705
-148886353#1,688758273#0,8.76025917926566
-148886353#3,-148886353#1,14.198704103671705
-148886353#3,130837938#0,29.261339092872568
-148886353#3,148886353#2,20.706983441324695
-154653037#3,-698306854#1,14.723672367236725
-154653037#3,154653037#0,48.89560835133189
-154653037#3,698306854#2,0.8676867686768678
-161536882,161536882,14.116630669546437
-164438339#0,-164438340#1,7.552195824334054
-164438339#0,164438339#0,5.444204463642909
-164438339#0,164438341,5.06983441324694
-164438339#1,-164438339#0,4.79337652987761
-164438339#1,-26202007,4.62634989200864
-164438339#1,164438339#1,3.375089992800576
-164438340#1,-26201909,8.505399568034557
-164438340#1,164438340#0,7.628509719222461
-164438340#1,170930825,12.99352051835853
-164438341,-164438340#1,7.552195824334054
-164438341,164438339#0,5.444204463642909
-164438341,164438341,5.06983441324694
-170343070,170343070,13.69906407487401
-170345932,170345932,3.565154787616991
-170345933,170345933,5.354931605471561
-170345934#0,170345934#0,6.558675305975521
-170345938#0,1181324300,22.77753779697624
-170345938#2,-170345938#0,22.78041756659467
-170345938#2,1351699825,6.889848812095033
-170345938#2,170345938#1,2.761699064074874
-170345938#3,-170345938#2,2.7544996400287975
-170345938#3,-927509185,7.235421166306695
-170345938#3,170345938#3,14.463642908567314
-170345942,-170345943#1,40.05903527717782
-170345942,170345942,3.585313174946004
-170345942,170345943#2,31.86033117350612
-170345943#1,-138506500#1,0.8408927285817134
-170345943#1,138506500#2,2.2606191504679622
-170345943#1,170345943#0,40.05903527717782
-170345943#2,-170345943#1,40.05903527717782
-170345943#2,170345942,3.585313174946004
-170345943#2,170345943#2,31.86033117350612
-170345944,170345944,6.233261339092873
-170345948,-690272657#2,3.3794096472282216
-170345948,170345948,5.746580273578113
-170345948,690272657#3,8.004319654427645
-170930827,-26201909,8.505399568034557
-170930827,164438340#0,7.628509719222461
-170930827,170930825,12.99352051835853
-170930829#0,-696754750,12.742980561555076
-170930829#0,22751265#0,11.003599712023037
-170930829#0,77991172,5.841612670986321
-170930829#1,-164438339#1,3.375089992800576
-170930829#1,-170930829#0,5.573794096472282
-170930829#1,170930829#1,3.5766738660907125
-170930829#2,-170930829#1,3.5680345572354213
-170930829#2,170930829#2,1.6702663786897047
-170930829#2,26202007,4.107991360691145
-175230868,-19822616#11,14.601871850251978
-175230868,1259664881#0,2.4833483348334835
-175230868,696526912,0.06983441324694024
-190031806#0,-190031807,22.2548596112311
-190031806#0,190031806#0,11.66882649388049
-190031806#0,79890303#0,4.256299496040317
-190031806#1,-190031806#0,11.66882649388049
-190031806#1,190031806#1,3.773938084953204
-190031806#1,233738948#0,30.03599712023038
-190031807,-79890300#0,0.028797696184305256
-190031807,1133083733,0.028797696184305256
-190031807,79890300#1,21.462922966162708
-192219178#1,14618090,1.6637868970482361
-192219178#1,192219178#0,8.136069114470843
-192219178#1,696723068,1.8271827182718274
-192219555#0,192219555#0,2.1845184518451846
-192219555#0,193292266#0,3.336633663366337
-192219555#0,263345941#0,8.419006479481641
-192219555#1,-192219555#0,2.1845184518451846
-192219555#1,-250699721#1,23.928005759539236
-192219555#1,192219555#1,3.314131413141314
-193116149,-201707817#2,7.125989920806336
-193116149,1259664882,1.983798379837984
-193116149,193116149,1.4377249820014397
-193288697#1,-79888969,5.487401007919366
-193288697#1,193288697#1,12.755939524838013
-193288697#1,263951134,9.580993520518359
-193288697#1,690496989,20.28221742260619
-193289760,193289760,12.594672426205904
-193290154,193290154,8.253419726421885
-193292262#1,-88308866#1,23.742260619150464
-193292262#1,193292262#0,18.516918646508277
-193292262#1,697206812#0,4.514038876889849
-193292264#4,-193292267,1.0522052205220522
-193292264#4,193292264#0,7.23942394239424
-193292267,-203111482#8,4.048604860486049
-193292267,193292267,1.0522052205220522
-193292269#0,-250699722#3,8.267818574514038
-193292269#0,193292269#0,10.210223182145427
-193292269#0,250699722#4,9.904967602591793
